song_name,song_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,audio_valence
boulevard of broken dreams,0.73,0.005541150252985199,0.502532928064843,0.6823424488691592,2.9488465396188567e-05,0.7272727272727273,0.04922572043892934,0.8592421876936039,1.0,0.03124335812964931,0.6894246403486327,0.48170731707317077
in the end,0.66,0.01034035195497891,0.5491388044579535,0.8536971531069314,0.0,0.2727272727272727,0.09957953030458415,0.8019478105717047,0.0,0.05292242295430394,0.43437136324994424,0.37601626016260165
seven nation army,0.76,0.008201795548023553,0.7467071935157041,0.4628881785295562,0.448345035105316,0.0,0.25033329914880526,0.7667335761901222,1.0,0.08416578108395326,0.51123317293804,0.32926829268292684
by the way,0.74,0.0265050271437025,0.4569402228976697,0.9709398454801439,0.0035606820461384155,0.0,0.09342631524971798,0.8383515475924962,1.0,0.11370882040382572,0.5053029490174069,0.201219512195122
how you remind me,0.56,0.000956808208779491,0.452887537993921,0.7665166895473631,0.0,0.9090909090909092,0.10470720951697263,0.8352043218595891,1.0,0.0332624867162593,0.7098564695978011,0.5833333333333334
bring me to life,0.8,0.00898492888014805,0.32016210739615,0.9458879881354404,1.855566700100301e-06,0.36363636363636365,0.3949338529381602,0.8821896761083439,0.0,0.13177470775770458,0.7838088792413275,0.3252032520325204
last resort,0.81,0.0005050005171692043,0.5886524822695035,0.8877676790957282,0.0011133400200601807,0.36363636363636365,0.2636652651010153,0.8700468366664189,0.0,0.0663124335812965,0.373798067002864,0.7357723577235773
are you gonna be my girl,0.76,0.0014849211994172927,0.6210739614994935,0.9539045824857455,0.0005837512537612839,0.18181818181818182,0.1447031073736027,0.8755978489827274,1.0,0.09086078639744954,0.43350473344943424,0.5457317073170732
mr. brightside,0.8,0.0010833143624303712,0.33434650455927056,0.9368693194913472,0.0,0.09090909090909091,0.08378627833042765,0.8700220553614353,1.0,0.09744952178533477,0.6112298714911809,0.23780487804878053
sex on fire,0.81,0.0017258853016094455,0.5491388044579535,0.9058050163839148,0.010431293881644934,0.8181818181818182,0.1282945338939596,0.8206329145292791,1.0,0.05738575982996812,0.6330441816125917,0.38008130081300817
the middle,0.78,0.04256930062317935,0.6372847011144884,0.8977884220336096,0.0,0.18181818181818182,0.2585375858886268,0.8764404133521672,1.0,0.05132837407013816,0.6683118876847778,0.9451219512195124
numb,0.63,0.00461745452791528,0.502532928064843,0.8637178960448127,0.0,0.8181818181818182,0.64413906266024,0.8578048720045598,1.0,0.040488841657810845,0.45402322567865366,0.24695121951219515
smooth criminal,0.75,0.004356410083873781,0.6555217831813577,0.964927399717415,0.0036108324974924774,0.8181818181818182,0.1426520356886473,0.8560206180457464,0.0,0.06376195536663125,0.5238653339826178,0.8892276422764228
can t stop,0.81,0.017970881857730416,0.6261398176291794,0.9388734680789234,0.0,0.8181818181818182,0.16008614501076812,0.8754243798478428,1.0,0.04845908607863975,0.377417278122137,0.8892276422764228
chop suey!,0.6900000000000001,0.0003533939362066415,0.425531914893617,0.9298547994348302,0.0007492477432296891,0.6363636363636364,0.11393703209927188,0.864099323470374,0.0,0.12858660998937302,0.5249465578289685,0.3048780487804878
take me out,0.77,0.00042367513267935273,0.28166160081053704,0.6763300031064304,0.0009017051153460381,0.8181818181818182,0.1282945338939596,0.7421257403414864,1.0,0.03942614240170032,0.43143720235393157,0.5020325203252033
i miss you,0.71,0.0013644391483212163,0.6676798378926039,0.7785415810728208,6.810431293881645e-06,1.0,0.07506922366936725,0.8015513096919684,1.0,0.04027630180658874,0.4540397329129491,0.633130081300813
best of you,0.62,0.007037135720761481,0.3748733535967579,0.9448859138416522,2.908726178535607e-06,0.09090909090909091,0.1272689980514819,0.8373355140881719,0.0,0.08150903294367695,0.5377850593022392,0.35060975609756095
i write sins not tragedies,0.77,0.09417577917599876,0.5744680851063829,0.7955768440672192,0.0,0.8181818181818182,0.10573274535945032,0.8371868262582708,0.0,0.1424017003188098,0.7018050660702052,0.6453252032520326
kryptonite,0.79,0.006665649396548579,0.552178318135765,0.8657220446323891,1.1233701103309928e-05,1.0,0.16111168085324581,0.8192699427551855,0.0,0.030393198724760897,0.4085953168976304,0.551829268292683
the kill (bury me),0.6900000000000001,0.0014045998320199083,0.3130699088145897,0.9128195364404318,0.00027181544633901703,0.36363636363636365,0.5856835196390113,0.8645453869600773,0.0,0.06865037194473965,0.7553504073160062,0.3069105691056911
use somebody,0.79,0.005541150252985199,0.27963525835866265,0.7154109005641678,0.0004182547642928786,0.0,0.19495436365500973,0.8279929621093847,1.0,0.0459086078639745,0.5654883252585445,0.1758130081300813
no one knows,0.13,0.013754010069367743,0.5248226950354611,0.5380437505636668,0.00039919759277833505,0.0,0.13342221310634805,0.8165439992069983,1.0,0.05164718384697131,0.70549030612666,0.6981707317073171
jerk it out,0.62,0.017167668183756573,0.5876393110435664,0.9819626627118134,1.0732196589769306e-05,0.7272727272727273,0.38467849451338326,0.8962158947290164,0.0,0.06376195536663125,0.553021236556921,0.8750000000000001
uprising,0.77,0.00020178735524407866,0.6099290780141844,0.9058050163839148,0.0641925777331996,0.18181818181818182,0.1088093528868834,0.8604564716377965,1.0,0.08235919234856537,0.5283099068166623,0.41768292682926833
hey there delilah,0.79,0.8755018805340544,0.6656534954407296,0.2905313999979958,0.0,0.18181818181818182,0.10573274535945032,0.6987336753153421,1.0,0.031137088204038262,0.4290766678496851,0.30284552845528456
blurry,0.28,0.01023995024573218,0.4457953394123607,0.9328610223161946,0.0,0.2727272727272727,0.13444774894882575,0.8495031348350804,0.0,0.06206163655685442,0.6497164882509759,0.5030487804878049
american idiot,0.78,2.5481953806820166e-05,0.3850050658561297,0.9889771827683305,7.883650952858576e-05,0.09090909090909091,0.36621884934878474,0.9101182068247714,1.0,0.06790648246546228,0.7680527241063395,0.7815040650406505
welcome to the black parade,0.77,0.00028913684228873404,0.2198581560283688,0.9058050163839148,0.00011033099297893681,0.18181818181818182,0.2164906163470413,0.8590439372537357,1.0,0.07991498405951117,0.40009409123548395,0.23983739837398374
gives you hell,0.71,0.01566164254505562,0.723404255319149,0.7254316435020493,0.0,0.36363636363636365,0.06327556148087375,0.8018486853517707,1.0,0.04272051009564294,0.412631335682863,0.5995934959349594
all my life,0.11,0.00019375521850434024,0.5896656534954408,0.5971661338971671,0.00027382146439317956,0.4545454545454546,0.5190236898779613,0.8201868510395758,1.0,0.05441020191285867,0.6922226165617081,0.684959349593496
like a stone,0.77,0.008000992129530092,0.6220871327254306,0.568105979377311,0.0,0.6363636363636364,0.09106758281201928,0.8249944242063787,0.0,0.029330499468650375,0.44507217788195674,0.524390243902439
it s been awhile,0.65,0.001896568207328887,0.5157041540020264,0.7745332838976682,0.0005506519558676028,0.5454545454545454,0.13547328479130344,0.8602582211979283,1.0,0.0359192348565356,0.4808928763030398,0.083739837398374
i hate everything about you,0.75,0.004627494698839953,0.5045592705167173,0.830649444349804,0.0,0.5454545454545454,0.13137114142139267,0.8329244418011053,0.0,0.044739638682252926,0.3686973316055761,0.46036585365853666
rollin  (air raid vehicle),0.74,0.00507930239045024,0.6068895643363729,0.9328610223161946,0.0,0.8181818181818182,0.26469080094349295,0.8782494486159641,1.0,0.19128586609989376,0.39713929629660194,0.7032520325203252
fat lip,0.74,0.0006194584657104768,0.5815602836879432,0.9118174621466436,0.0,0.8181818181818182,0.06768536560352784,0.8324535970064184,1.0,0.07598299681190224,0.40473675088107364,0.5823170731707317
the pretender,0.11,0.0009196595763582006,0.4387031408308004,0.9599170282484744,0.0,0.8181818181818182,0.01753666290636858,0.8606051594676976,1.0,0.04580233793836345,0.7138718543401645,0.37093495934959353
savior,0.73,0.0016455639342120613,0.5562310030395138,0.9308568737286184,6.690070210631895e-05,0.4545454545454546,0.38878063788329403,0.8747800659182713,0.0,0.051753453772582364,0.4640472437045535,0.5345528455284554
bodies,0.74,0.0034829152134272265,0.6646403242147924,0.9328610223161946,0.0014744232698094282,0.36363636363636365,0.13649882063378113,0.876341288132233,0.0,0.07523910733262487,0.5403478074266047,0.5528455284552847
"sugar, we re goin down",0.79,0.009015049392922069,0.5055724417426546,0.8246369985870752,0.0,0.6363636363636364,0.15598400164085735,0.8432334646742498,1.0,0.08437832093517536,0.6684480723677151,0.7103658536585366
last nite,0.7000000000000001,0.02238855706458655,0.6322188449848025,0.8997925706211859,0.00015546639919759278,0.0,0.08881140395856836,0.8192203801452185,1.0,0.03134962805526036,0.42941506615274144,0.809959349593496
through glass,0.6,0.04186648865845224,0.552178318135765,0.7534897237281172,0.0,0.2727272727272727,0.3877551020408163,0.8462815651872228,0.0,0.03825717321997875,0.4364265139197253,0.44105691056910573
the diary of jane - single version,0.6900000000000001,5.449804777912524e-05,0.3789260385005066,0.9619211768360506,0.08365095285857573,0.9090909090909092,0.13034560557891497,0.8511634822689763,0.0,0.09043570669500532,0.6893090897085647,0.3628048780487805
down with the sickness,0.73,0.0009989769266631177,0.7041540020263425,0.8767448618640586,6.91073219658977e-06,0.2727272727272727,0.09752845861962875,0.8551037097613561,0.0,0.0587672688629118,0.3712229384527769,0.9563008130081301
wish you were here,0.62,0.0006325106879125519,0.24924012158054712,0.7685208381349393,0.30190571715145437,0.8181818181818182,0.09342631524971798,0.7753574703243873,1.0,0.04112646121147716,0.7010333528668938,0.3556910569105691
youth of the nation,0.72,0.008372478453742995,0.5704154002026343,0.8607116731634483,0.010631895687061183,0.7272727272727273,0.38878063788329403,0.7740440611602607,1.0,0.06599362380446334,0.40387837469771126,0.5254065040650407
vertigo,0.5700000000000001,0.00015259051771318078,0.39614994934143877,0.8316515186435922,0.001925777331995988,0.18181818181818182,0.13342221310634805,0.8642727926052586,1.0,0.06514346439957493,0.5775303526770607,0.6941056910569107
miss murder,0.71,0.000212831543261219,0.3130699088145897,0.8757427875702705,0.0016850551654964895,0.09090909090909091,0.10470720951697263,0.8494535722251134,1.0,0.05185972369819342,0.5923043273714705,0.7367886178861789
i bet you look good on the dancefloor,0.63,0.002258014360617116,0.5420466058763932,0.9488942110168048,0.0,0.5454545454545454,0.3744231360886063,0.8568879637201695,0.0,0.03783209351753454,0.42581648907633773,0.7906504065040652
"steady, as she goes",0.64,0.013252001523134091,0.5309017223910841,0.5781267223151925,0.009237713139418255,0.8181818181818182,0.09957953030458415,0.8476445369613164,1.0,0.1275239107332625,0.5103582895203823,0.5457317073170732
